[Gemma-3-4B-it | CaseHOLD] saved=500/500 (100.00%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | CaseHOLD] saved=500/500 (100.00%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | CaseHOLD] saved=500/500 (100.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | CaseHOLD] saved=500/500 (100.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | CaseHOLD] saved=500/500 (100.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | CaseHOLD] saved=500/500 (100.00%) | RAM=0.06 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | CaseHOLD] saved=500/500 (100.00%) | RAM=0.06 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | CaseHOLD] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedMCQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedQA] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | ProfessionalLaw] saved=500/500 (100.00%) | RAM=0.07 GB | total_time=0.0000s | per_instance=0.000000s
Done.
