[Gemma-3-4B-it | CaseHOLD] saved=202/500 (40.40%) | RAM=0.03 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | CaseHOLD] saved=222/500 (44.40%) | RAM=0.03 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | CaseHOLD] saved=197/500 (39.40%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | CaseHOLD] saved=229/500 (45.80%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | CaseHOLD] saved=218/500 (43.60%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | CaseHOLD] saved=260/500 (52.00%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | CaseHOLD] saved=182/500 (36.40%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | CaseHOLD] saved=174/500 (34.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedMCQA] saved=264/500 (52.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedMCQA] saved=205/500 (41.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedMCQA] saved=136/500 (27.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedMCQA] saved=176/500 (35.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedMCQA] saved=224/500 (44.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedMCQA] saved=244/500 (48.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedMCQA] saved=174/500 (34.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedMCQA] saved=166/500 (33.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedQA] saved=279/500 (55.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedQA] saved=221/500 (44.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedQA] saved=155/500 (31.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedQA] saved=185/500 (37.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedQA] saved=237/500 (47.40%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedQA] saved=261/500 (52.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedQA] saved=189/500 (37.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedQA] saved=153/500 (30.60%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | ProfessionalLaw] saved=297/500 (59.40%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | ProfessionalLaw] saved=266/500 (53.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | ProfessionalLaw] saved=257/500 (51.40%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | ProfessionalLaw] saved=290/500 (58.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | ProfessionalLaw] saved=270/500 (54.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | ProfessionalLaw] saved=280/500 (56.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | ProfessionalLaw] saved=254/500 (50.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | ProfessionalLaw] saved=231/500 (46.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
Done.
