[Gemma-3-4B-it | CaseHOLD] saved=298/500 (59.60%) | RAM=0.03 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | CaseHOLD] saved=278/500 (55.60%) | RAM=0.03 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | CaseHOLD] saved=303/500 (60.60%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | CaseHOLD] saved=271/500 (54.20%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | CaseHOLD] saved=282/500 (56.40%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | CaseHOLD] saved=240/500 (48.00%) | RAM=0.04 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | CaseHOLD] saved=318/500 (63.60%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | CaseHOLD] saved=326/500 (65.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedMCQA] saved=236/500 (47.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedMCQA] saved=295/500 (59.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedMCQA] saved=364/500 (72.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedMCQA] saved=324/500 (64.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedMCQA] saved=276/500 (55.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedMCQA] saved=256/500 (51.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedMCQA] saved=326/500 (65.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedMCQA] saved=334/500 (66.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | MedQA] saved=221/500 (44.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | MedQA] saved=279/500 (55.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | MedQA] saved=345/500 (69.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | MedQA] saved=315/500 (63.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | MedQA] saved=263/500 (52.60%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | MedQA] saved=239/500 (47.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | MedQA] saved=311/500 (62.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | MedQA] saved=347/500 (69.40%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-3-4B-it | ProfessionalLaw] saved=203/500 (40.60%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Gemma-4-E4B-it | ProfessionalLaw] saved=234/500 (46.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.1-8B-Instruct | ProfessionalLaw] saved=243/500 (48.60%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Llama-3.2-3B-Instruct | ProfessionalLaw] saved=210/500 (42.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-3.5-mini-instruct | ProfessionalLaw] saved=230/500 (46.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Phi-4-mini-instruct | ProfessionalLaw] saved=220/500 (44.00%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3-8B-MLX-4bit | ProfessionalLaw] saved=246/500 (49.20%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
[Qwen3.5-4B-Instruct | ProfessionalLaw] saved=269/500 (53.80%) | RAM=0.05 GB | total_time=0.0000s | per_instance=0.000000s
Done.
